id,incident_number,campus_id,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at,campus
1374,25AL00643,3,12/21/2025 08:48 PM,12/21/2025 08:48 PM,12/21/2025 09:07 PM,Assisted an outside law enforcement agency with an investigation,25TH AVE & JUNIATA GAP RD,2026-02-18 21:43:32,other
1376,25AL00641,3,12/21/2025 05:55 PM,12/21/2025 05:55 PM,12/21/2025 06:45 PM,Assisted an outside law enforcement agency with an investigation,COLONEL DRAKE HWY & SKYLINE DR,2026-02-18 21:43:32,other
1377,25UP05345,1,12/21/2025 05:19 PM,12/21/2025 05:19 PM,12/21/2025 05:49 PM,Employee reported finding drug paraphernalia,SPROUL HALL,2026-02-18 21:43:32,other
1379,25UP05344,1,12/21/2025 04:42 PM,12/21/2025 04:42 PM,12/21/2025 05:07 PM,Assisted Residence Life with a University policy violation,MARTIN HALL,2026-02-18 21:43:32,other
1383,25AB00460,2,12/21/2025 12:18 PM,12/21/2025 12:18 PM,12/21/2025 12:25 PM,Visitor requested assistance with a personal matter,WOODLAND BUILDING,2026-02-18 21:43:32,other
1388,25UP05342,1,12/20/2025 11:35 PM,12/20/2025 11:35 PM,12/21/2025 02:24 AM,A vehicle stop investigation revealed the operator to be driving under the influence of a controlled substance,N ATHERTON ST (CLAY LN - RAILROAD AVE),2026-02-18 21:43:32,other
1390,25UP05335,1,12/20/2025 10:00 PM,12/20/2025 09:55 PM,,Visitor reported suspicious activity,PEGULA ICE ARENA,2026-02-18 21:43:32,other
1392,25HB00567,13,12/20/2025 08:04 PM,12/20/2025 08:04 PM,12/20/2025 08:31 PM,Assisted an outside law enforcement agency with an investigation,GENESIS CT,2026-02-18 21:43:32,other
1394,25UP05328,1,12/20/2025 05:47 PM,12/20/2025 05:47 PM,12/20/2025 06:47 PM,Visitor requested assistance in locating a student,ATHERTON HALL,2026-02-18 21:43:32,other
1397,25UP05322,1,12/20/2025 01:45 PM,12/20/2025 01:45 PM,12/20/2025 04:41 PM,Assisted an outside law enforcement agency with an investigation,WHEATFIELD DR,2026-02-18 21:43:32,other
1425,2026-00002220,1,02/19/2026 06:47 PM,02/19/2026 12:00 PM,02/19/2026 01:00 PM,Student reported damage to University property,MARTIN HALL,2026-02-21 20:58:08,other
1427,2026-00002219,1,02/19/2026 05:31 PM,02/19/2026 05:31 PM,02/19/2026 07:26 PM,Two vehicle accident with no injuries,NITTANY PARKING,2026-02-21 20:58:08,other
1429,2026-00002218,1,02/19/2026 04:53 PM,02/19/2026 04:53 PM,02/19/2026 05:36 PM,Employee reported concern for a student,STUDENT HEALTH CENTER,2026-02-21 20:58:08,other
1435,26WS00008,22,02/19/2026 03:00 PM,01/30/2026 07:00 AM,02/18/2026 04:53 PM,Employee reported damage to University property,BUSINESS BUILDING,2026-02-21 20:58:08,other
1436,2026-00002216,1,02/19/2026 02:58 PM,02/19/2026 01:20 PM,02/19/2026 02:40 PM,Student reported the theft of their unsecured personal property,OSMOND LAB,2026-02-21 20:58:08,other
1437,2026-00002215,1,02/19/2026 02:51 PM,02/19/2026 02:51 PM,02/19/2026 05:28 PM,Employee reported suspicious activity,GRANGE BLDG,2026-02-21 20:58:08,other
1438,2026-00002208,1,02/19/2026 01:38 PM,02/13/2026 04:28 PM,02/13/2026 07:30 PM,Student reported the theft of their unsecured personal property,INTRAMURAL BLDG,2026-02-21 20:58:08,other
1439,2026-00002213,1,02/19/2026 01:02 PM,02/19/2026 12:48 PM,02/19/2026 01:02 PM,Employee reported concern for a student,OSBORN HALL,2026-02-21 20:58:08,other
1441,2026-00002212,1,02/19/2026 12:20 PM,02/02/2026 12:00 AM,02/18/2026 11:59 PM,Student reported being harassed by another student,WARNOCK HALL,2026-02-21 20:58:08,other
1442,2026-00002210,1,02/19/2026 12:00 PM,02/19/2026 12:00 PM,02/19/2026 01:00 PM,Officer conducted a security inspection,SNIDER AGRICULTURAL ARENA,2026-02-21 20:58:08,other
1445,2026-00002205,1,02/19/2026 06:30 AM,02/19/2026 06:30 AM,02/19/2026 07:30 AM,Officer conducted a security inspection,NITTANY LION INN,2026-02-21 20:58:08,other
1447,2026-00002202,1,02/19/2026 04:24 AM,02/19/2026 04:15 AM,02/19/2026 04:24 AM,Student reported another student engaged in disorderly behavior,STONE HALL,2026-02-21 20:58:08,other
